id	name	mail	metadata	body
1	普通の名無しさん	sage	2016/02/07(日) 20:04:15 ID:nQ6356.M	 とりあえず <br><br>
2	普通の名無しさん	sage	2016/02/07(日) 20:04:43 ID:nQ6356.M	" 書き込むネタはノンジャンル。スレ違い／板違い／鯖違い／メディア違い問わず、ネタであれば何でもあり。<br><br>・書き込みの経験がないので一度体感してみたい<br>・あらかじめ他人の反応を知って推敲したい<br>・我ながらつまらないネタなので貼るのが躊躇われる<br>・なにか実験的な手法を試してみたい<br>などなど、基本的には何でもござれ。<br><br>《注意点》<br>・作品が投下終了直後は感想・意見交換などのために、次の作品投下予定の方は最低30分～1時間程度は空けてください。<br>・人が多そうなときに投下する際は被り防止にあらかじめリロード、または宣言しておくといいかも。<br>・残酷、グロテスクな描写、性的な描写がある場合は事前に告知すると親切。<br>・まとめサイトに載せたくない人は事前にその旨表記しておくこと。<br>・即興は禁止<br><br>次スレは<a href=""#970"">&gt;&gt;970</a>を踏んだ方が立ててください。<br><br>▼前スレ<br>中編、短編投下所17８<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1452255835/ <br><br>"
3	普通の名無しさん	sage	2016/02/07(日) 20:05:07 ID:nQ6356.M	 ▼過去ログ<br>旧やる夫板/part1～100まで<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1344403291/2-3<br><br>part101 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1330440806/<br>part102 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1331212552/<br>part103 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1332501181/<br>part104 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1333209110/<br>part105 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1334546647/<br>part106 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1335682818/<br>part107 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1336395089/<br>part108 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1337346336/<br>part109 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1338202382/<br>part110 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1338903850/<br>part111 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1339844931/<br>part112 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1340806374/<br>part113 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1341499627/<br>part114 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1342798289/<br>part115 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1344403291/<br>part116 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1346254011/<br>part117 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1347145292/<br>part118 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1348278345/<br>part119 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1349178059/<br>part120 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1350132594/<br>part121 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1351173969/<br>part122 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1351879694/<br>part123 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1353153465/<br>part124 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1354540949/<br>part125 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1356366620/<br>part126 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1356960229/<br>part127 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1358608855/<br>part128 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1359476496/<br>part129 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1360230694/ <br><br>
4	普通の名無しさん	sage	2016/02/07(日) 20:05:22 ID:nQ6356.M	 ▼過去ログ<br>part130 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1360958973/<br>part131 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1361798453/<br>part132 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1362927422/<br>part133 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1364230462/<br>part134 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1366349147/<br>part135 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1368622494/<br>part136 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1369580131/<br>part137 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1370715555/<br>part138 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1372172204/<br>part139 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1372947936/<br>part140 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1374152739/<br>part141 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1375437259/<br>part142 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1376753210/<br>part142 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1376753210/<br>part143 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1378899211/<br>part144 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1379682867/<br>part145 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1380918218/<br>part146 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1382890975/<br>part147 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1384748552/<br>part148 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1386083688/<br>part149 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1387117365/<br>part150 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1387963989/<br>part151 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1388916716/<br>part152 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1390917472/<br>part153 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1392400610/<br>part154 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1394374741/<br>part155 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1396124391/<br>part156 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1397908394/<br>part157 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1400423167/<br>part158 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1403930931/<br>part159 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1405689650/ <br><br>
5	普通の名無しさん	sage	2016/02/07(日) 20:06:05 ID:nQ6356.M	 ▼過去ログ<br>part160 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1408351738/<br>part161 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1410559779/<br>part162 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1414237166/<br>part163 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1418475302/<br>part164 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1420016268/<br>part165 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1422096802/<br>part166 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1423653385/<br>part167 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1425710967/<br>part168 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1428073789/<br>part169 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1430666872/<br>part170 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1433208639/<br>part171 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1435678310/<br>part172 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1437925907/<br>part173 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1439782962/<br>part174 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1441801880/<br>part175 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1444445245/<br>part176 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1447512577/<br>part177 ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1450350955/ <br><br>
6	普通の名無しさん	sage	2016/02/07(日) 20:06:24 ID:nQ6356.M	 ▼まとめサイト<br>やる夫短編集 (,,^ーﾟ)＜すさまじい程に！阿修羅編<br>mukankei151.blog47.fc2.com/<br>やる夫短編集　短編まとめページ<br>mukankei961.blog105.fc2.com/blog-category-74.html<br>やる夫短編集 やる夫ショートストーリーセレクション<br>mukankei961.blog105.fc2.com/blog-category-299.html<br><br>▼類似スレ<br>【一発ネタ】やる夫は～160【予告風】<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1445433220/<br>やる夫でコピペ　200スレ目<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1446879356/ <br><br>
7	普通の名無しさん	sage	2016/02/07(日) 20:06:41 ID:nQ6356.M	 ▼制作補助<br>やる夫AA録2（やる夫系総合AAサイト）<br>ttp://yaruo.b4t.jp/<br>やる夫初心者スレ46<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1436936707/<br>AA支援スレ　その20<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1432909657/<br>AA作成依頼スレその36<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1428719564/<br>やる夫スレ用ＡＡ作成依頼スレ　その3<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1315485489/<br>AAアシスタントスレ　その2<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1326899673/<br><br>管理スレッド<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12368/1401549880/<br><br>7 名前：普通の名無しさん＠12/24より短編祭開催中。詳細はやる夫短編集まで[] 投稿日：2016/01/08(金) 21:30:44 ID:mDh.ufaw [7/83]<br>【注意】<br>このスレッドは本来「やる夫板Ⅱ」に建てられていたスレッドです<br>スレ数上限に達した都合こちらに避難しましたがやる夫板Ⅱの整理がつき次第また引っ越しする可能性があります<br>次スレを建てる場合には注意してください<br><br>8 名前：普通の名無しさん＠12/24より短編祭開催中。詳細はやる夫短編集まで[] 投稿日：2016/01/08(金) 21:31:53 ID:mDh.ufaw [8/83]<br>▼外部板・短編系スレのまとめがＮＧワードが入っていて張り付けれないので、<br>どなたか張れる人がいれば代わりにお願いします。 <br><br>
8	普通の名無しさん	sage	2016/02/07(日) 20:09:38 ID:nQ6356.M	" 色々事故が御座いました。<br>失礼致しました。<br>正式には、<a href=""#7"">&gt;&gt;7</a>のレスはそれぞれ分離されます。<br>また、当方では前レスの<a href=""#8"">&gt;&gt;8</a>と同じく▼外部板・短編系スレのまとめが張り付けられません。<br>どなたかよろしくお願いします。 <br><br>"
9	普通の名無しさん	sage	2016/02/07(日) 20:12:12 ID:nQ6356.M	 ▼外部板・短編系スレ<br>やる夫楽曲短編投下所（livedoor版）<br>ttp://blog.livedoor.jp/mukankei961/archives/51964133.html<br>やる夫楽曲短編投下所（seesaa版）<br>ttp://testtest4556.seesaa.net/article/428080454.html<br>やらない夫板：やらない夫短編投下所２６<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/14429/1399037709/<br>やらない夫板：やらない夫板II　ヒロイン短編スレ【2スレ目】<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/14429/1297679392/<br>ヒロイン短編投下スレッド 20<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/15956/1430814027/<br>やる夫短編投下所 in おーぷん<br>ttp://open.open2ch.net/test/read.cgi/yaruo/1396490018/<br>短編投下用スレ（方舟板）<br>ttp://shokaku05.sakura.ne.jp/test/read.cgi/reppua7m1/1406803565/<br>短編スレ（シェルター板）<br>ttp://yaruoshelter.saber.jp/test/read.cgi/yaruo001/1397181772/<br>普通のやる夫板短編所<br>ttp://bbs.yaruyomi.com/test/read.cgi/ban/1441546501/<br>ホラー、オカルト系共用短編スレ<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/14504/1439291132/<br>【短編】やる夫系R18ストーリースレPart46【長編エロ隔離】<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/15956/1445234972/<br>やる夫801板 避難所：やる夫系801短編スレ その5<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/13906/1283768055/<br>翠星夫板：翠星夫短編スレ２<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/13257/1286199880/<br>やる夫の唄　～歌の歌詞を短編やる夫storyにしてみるスレ～　3曲目<br>ttp://jbbs.shitaraba.net/bbs/read.cgi/otaku/12973/1305576322/ （次スレなし） <br><br>
10	普通の名無しさん	sage	2016/02/07(日) 20:13:52 ID:nQ6356.M	 お目汚し失礼しました。<br>では前スレの続きです<br>——————————————<br>　　　　　　　　　 |/ニニニ＞ ､<br>　　　　　　　　　人ニニニニニ＼<br>　　　　　　　　 ／ /⌒ヽﾆﾆﾆﾆﾆ∧<br>　　　　　　　　{ｰ==ミ／二二二ニ∧<br>　　　 　 　 _／　ー　}二二二ニニﾆ}<br>　　　　　 〔　 　 　 ´ﾉ二二ﾆﾆﾆﾆﾆﾘ　　　おい、待て<br>　 　 　 　 ﾉ､　　　　　)　ﾉニニﾆﾆ/<br>　　　　 　{　　 　 　 ｀¨¨{ニニﾆ／<br>　　 　 　 ｀ ー‐┐ 　 ___|/リ}／<br>　　　 　 　 　 _斗＜´.　＜二}<br>　　　　　　＿{　. ＜ニニニニ＼<br>　 　 　 　 {ニ|/ニニニニニﾆﾆ∧<br>　　　　　/ニニニニニニニニﾆﾆ|<br>　　　 　 {ニニニニニニニニニﾆ|<br>　　　 　 {ニニニニニニニニニﾆ|<br><br>　(⌒─-⌒)<br>　（(´･ω･`)）　　はいな？<br>　　 ﾟし-Jﾟ <br><br>
