id	name	mail	metadata	body
1	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:33:54 ID:c1e36562	<br>　　　　　　　　 ・ この資料は、筆者が東京国民大学で「ネット史Ⅰ」の授業に使用した資料を<br>　　　　　　　　　　　　　　　　　　　　　　　　PP用に抜粋したものです。<br><br>　　　　　・ 2chの書き込みは当時の規定（転載禁止規定）を重視し、引用はせず書き直しています<br><br>　　　　　　　　　　　　　　　・ 当時の団体やウェブサイト等に関して詳説はしません。<br><br>　　　　　　　　　　　　　　　　　　　　　・HTTPプロトコルを使ったURLは、<br>　　　　　　　　　　　　　北東アジア同盟通信委員会第53条指令より規制されているため、<br>　　　　　　　　　　　　　　　　「&lt;HTTPURL&gt;」という文字列に全て変更しています。<br><br><br>
2	◆mtwlx/9P3UwK	sage	2017/07/09(Sun) 17:35:27 ID:c1e36562	<br>【　注意（メタいやつ）　】<br><br>　・ この作品は実際の事件を扱うものではなく、架空の事件をモキュメンタリーチックに紹介する作品です<br>　　（実際の事件もやるかも）<br><br>　・ 不定期連載を覚悟してください<br><br>　・ オチを先に決めてしまったがためにイデオロギー的な話がよく出てきます<br>　　（そもそも語り手が大学教員なんで）<br><br>　・ 例のアレ要素が多分に含まれています<br><br>　・ 企業・個人が実名で登場して殴り合ったりしますが、中傷する意図は一切ありません<br><br>　・ 矛盾してても気にしないでください。多分信頼できない語り手とかそういうのでしょう<br><br>　・ パイロット版（短編版）との間で設定変更があったりなかったりします<br><br>　・ ベルリンゲート要素はありません<br><br>　・ 筆者のツイッターアカウントはよく凍結されるので投下できなくなることがあります<br><br>【　参考にしました　】<br>　・ シン・ゴジラ(監督：庵野秀明)<br>　・ the video game with no name(赤野工作)<br>　・ 選抜宇宙種族の本づくり習性(ケン・リュウ)<br>　・ やる夫に男友達ができたようです(◆PxpsTgDRu.)<br>　・ 宇宙大航海時代のためのCDN選び(anatato-java)
3	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:23 ID:c1e36562	<br><br><br>　　　　　　　　　　┌───────────┐<br>　　　　　　　　　　│　　　　　　　　　　　　　　　　│<br>　　　　　　　　　　│　&#x2009;AAで学ぶネット事件簿　&#x200A;│<br>　　　　　　　　　　│　　　　　　　　　　　　　　　　│<br>　　　　　　　　　　└───────────┘<br><br>　　　　　　　　　　　　第一話：Operation Lenin<br><br><br><br><br>
4	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:26 ID:c1e36562	<br>　　　　　　　　　　　　／￣￣＼<br>　　　　　　　　　　 ／ _ノ　 ヽ､_ ＼<br>　　　　 　 　 　 　 |　（ ●）（● ）　|　　　　どうも皆さん<br>　　　　 　 　 　 　 |　　（__人__） 　│<br>　　　　　　　　　　 | 　　｀⌒ ´　 　|　　　　解説のやらない夫です<br>　　　 　 　 　 　 　 | 　 　 　 　 　 |<br>　　　 　 　 　 　 　 ヽ　　 　　　　/<br>　　　　　　　　　　　 ヽ　 　　　 人<br>　　　　 ⊂てヽ　 　／　　　　 　 　ヽ<br>　　　{三＿ ｨ　`´ 　／|　　　　　ｨ　 |<br>　　 　 　 　 .＼__／ 　 |　　 　 　|　 |<br><br>
5	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:29 ID:c1e36562	<br>　　　　 ／￣￣＼<br>　　　／　　 _ノ　　＼　　（ ;;;;(<br>　　　|　　　 （ ─）（─　　) ;;;;)　　　　　　　日本にネットが普及したのがWindows95からだと考えると、<br>　　　|　　　 　 （__人__）　/;;／<br>.　　　|　　　　　　　　ﾉ　l;;,´　　　　　　　　　もうそれから70年程になるんでしょうか<br>　　　 |　　　　　∩ ノ)━・'<br>　　／　　　　／ ＿ノ´　　　　　　　　　　　　ネット初期には色々な祭がありました<br>　 (.　 ＼ ／　.／ 　 │<br>　　＼　 “　／_＿_|　 |<br>.　　　 ＼／ ＿＿＿ /<br><br><br>　　　　　　　　 　　,, -─- ､._<br>　　　　　　　　　／　　　　　　ヽ<br>　　　　 　 　 　 |　　 　 　 　 　 |<br>　 　 　 　 　 　 |　　 ノ 　ヽ､_ 　|　　　　　　　　田代祭、のまネコ、淫夢、ケツ毛バーガー、恒心教、嫌儲、ゴルスタ<br>　　　　 　 　 　 |　（─）（─ ）　|<br>　　　　　　　 　 |　 （__人__） 　 |　　　　　　　　ベルリンゲート、ワスレナグサ革命……<br>　　　　　　　　　ヽ　／⌒´　　ﾉ<br>　　　（::: ふー　／／ .,＿,, '　 ヽ,　):::::)<br>　　（:::(　　　　 ）／　　　　　　　 } (:::(<br>　　　（:::...　..:::） |　　i　　　 　ｨ　 |　))　 ｷﾞｭ<br><br><br>
6	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:32 ID:c1e36562	<br><br>　　　　　　　　 ／￣￣＼<br>　　　　　　　 ノ 　ヽ､_　　＼<br>　　　(　 　.(●) (● ）　　　 |　　　　　　　しかし、この騒動はネット初期に起きた祭の中でも一番衝撃的だったと<br>　　 　 .)　 .（__人__）　 　 　 |<br>　　 　 (_＿.(,｀⌒´ 　 　 　 |　　　　　　　筆者は申しております<br>　 　 　 | 　|{　　　　　　　 |<br>　　　 ﾓ|　 | ヽ.　　　　　ノ<br>　　　.|ｮ フ ヽ／ﾄ. 　 　　　＼<br>　　　 ヽ､__ノ.　_ 　 　 　 ｨ　 ヽ<br>　　　　　＼_／|　　 　 　|　 　|<br>　　　　　　　/⌒￣￣￣　　 ﾉ<br><br>　　　／￣￣＼<br>　 ／　　 _ノ　　＼<br>　 |　　　 （ ●）（●）<br>　 |　　　　 （__人__）　　　　　　「AAで学ぶネット事件簿」<br>　 |　　　　　｀ ⌒´ﾉ<br>.　 |　　　　　　 　 }　　　　　　 記念すべき第1回は韓国から始まった「Unite騒動」です<br>.　 ヽ　　　　　 　 }<br>　　 ヽ　(＼ 　 　ﾉ､<br>　　　/　 ＼＼く}　j<br>　　　|　　〈￣ ﾞヽ ヽ<br>　　　|　　.に 　　　}<br>　　　|　　 (＿__，ノ<br><br><br>
7	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:35 ID:c1e36562	<br>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;:;;:;:;;:;:;:;;:;:;;:;::;::::;:;::;::;::;:;:;::::::::::::::::::::::::::::::::::.::.:.::......:.. 　.....:.:.<br>;;;;;;;;;;;;;;;;;;;;;;;;;:;:;;:;:;;:;;:;:;:;:;;:;::;:::;::;:;:;::;:;::;:::::::::::::::::::.::.::.:.:.::.:.:.:..... 　.. ...:.:......::.:.:.:.:.:<br>:::.:::.:.:.::.:.::.::.:.::.:.:.:.::.:::.:.:.::.::.::.:.:.::.:.::.:.:.:.::.::.::.::.::.::.:.::.::.::.:.::.::.::.:.::.:.::.:.:.::.:.::.:.:<br>..:..:.:..:...:.:.:..:..:.:.:..:.:..:.:.:.:..:..:.::..:.:..:.:.:.:.:..:.:..:..:.:.:..:..:..:.:.:..:.:.:..:.:.:.:..:.:.:..:.:.:.:.:.:.:..:<br>　　..:.:.. ..　. ...:.:.:..:... ..:.:.:... . .　　..　 .:.:.:.:....　　　....:.:.:.. ..:.::..:...　　....:..<br>...　　...　　　　　...:.:.　　　　　　　　　　　　　.　　　　...　　　....:.:.:.:.::..<br><br>　　　　　〈　　　　　　　｀`ヽ､<br>　　　 ･ｿ´｀`　　　　　＿＿∧<br>　　 ,,＜r　 __　　　／　　　　ﾍ<br>　　　'　｀ゞソヾﾘﾊ´　　　　　　 ﾍ<br>　　　　　　　,, 。_〈　　　　　　 　 ﾍ<br>　　　　　　　。rfffﾐ.　　　　　 　 　 }<br>　　　　　　　 &lt;,ﾊ　　　　　 　　　　 {<br>　　　　　　　　 ﾘ}. 　　　　 　　　　（_,<br>　　　　　　　　　_§　　　　　 　 　 /<br>　　　　　　　　ﾟ {=　　　　　　　　　/<br>　　　　　　　;,゜〔　　　　＿r__ｨｧ-ノ<br>　　　　´ﾟ。 。;,　〕　 ／Qo。O<br>　　　　　‥　o ｿ∨ﾐ<br>┌───────────────────────────────────────┐<br>│韓国は元々ネットが事実上実名制の国であった。　　　　　　　　　　　　　　　　　　　　　　 　 　 　 │<br>│しかし、2012年の違憲判決から徐々に匿名制を取り入れたサイトが増えてゆくことになった。　&#x2005;│<br>└───────────────────────────────────────┘<br><br>
8	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:38 ID:c1e36562	<br>┌────────────────────────────────────┐<br>│そのような情勢の中、2017年にNAVERスタッフの一部が独立して設置されたのが、　　&#x200A; │<br>│「Unite」であった。　　　　　　　　　　　　　　　　　　　　　　　　　　　　 　 　 　 　 　 　 　 　 　 │<br>│　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 　 　 │<br>│システムはTwitterに酷似しているが、Twitterが世界の莫大なつぶやきをまとめる事に │<br>│執心しているのに対し、Uniteは発信のしやすさと見返しやすさに重点を置いていた。　&#x2002;│<br>└────────────────────────────────────┘<br><br>　　　　　　　　　　　　〃三三三三三三三三三三三三三三三三三三 ｀ヽ<br>　　　　　　　　　　　　ｌ三三三三三三三三⊂ニニ⊃三三三三三三三三 |<br>　　　　　　　　　　　　|三三三三三三三三三三三三三三三三三三三三l|<br>　　　　　　　　　　　　|三|&#x2002;.&#x2009; .　　　　　　　　　　　 　 　 　 　 　 　 18:09 |三|<br>　　　　　　　　　　　　|三|&#x2009; ∪ Unite　 | 　　 |　　　　　　　　　　　　　 　 |三|<br>　　　　　　　　　　　　|三| ￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣&#x200A; |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　&#x2002;f´￣￣￣￣￣￣￣￣￣￣￣￣｀ヽ　　&#x200A; |三|<br>　　　　　　　　　　　　|三|　　&#x2002;|　&#x2002;┌─────────┐　&#x2009; |　 　 |三|<br>　　　　　　　　　　　　|三|　　&#x2002;|　&#x2002;│　　　　　　　　　　　　　&#x200A;│　&#x2009; |　 　 |三|<br>　　　　　　　　　　　　|三|　　&#x2002;|　&#x2002;│　　　　　　　　　　　　　&#x200A;│　&#x2009; |　 　 |三|<br>　　　　　　　　　　　　|三|　　&#x2002;|　&#x2002;└─────────┘　&#x2009; |　 　 |三|<br>　　　　　　　　　　　　|三|　　&#x2002;|　　　　　　　　　　　　　&#x200A; [　　　]　&#x2007;|　 　 |三|<br>　　　　　　　　　　　　|三|　　&#x2002;ヽ＿＿＿＿＿＿＿＿＿＿＿＿乂_　　&#x200A; |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三|　　　　　　　　　　　　　　　　　　 　 　 　 　 　 |三|<br>　　　　　　　　　　　　|三三三三三三三三三三三三三三三三三三三三l|<br>　　　　　　　　　　　　|三三三三三三三 （ 　 □　　）三三三三三三三三l|<br>　　　　　　　　　　　　|三三三三三三三三三三三三三三三三三三三三｣<br>　　　　　　　　　　　　乂＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿__ ノ<br><br>
9	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:41 ID:c1e36562	<br>┌──────────────────────────────────────────────────┐<br>│簡便で高機能な検索システムと、iOSのOverlay・AndroidのCoverScreenを使った独特な投稿機能。　 　 　 　 　 　 　 　 　 │<br>│これらを持ったUniteは韓国内で爆発的にユーザーが増え、いつの間にかFacebook等に次ぐ第3位のSNSとなっていた。&#x2005; │<br>└──────────────────────────────────────────────────┘<br><br>| ┌────────────┐<br>|　|　球根栽培法　　 　 　 　 　 　 ｜<br>|　|　　　　　　　　　　　　　　　　　　｜<br>| └────────────┘<br>|　　　[Option (O) ]　　 [Search (S) ]<br>|<br>｀──────────┐ ┌───<br>　　　　　　　　　　　 　 　 　 |　/<br>　　　　　　　　　　　 　 　 　 |./<br>　　　　　　　　　　　　　　　　　　　　　 .,-､　,-､<br>　　　　　　　　　　　　 ________　　　　　.i　 i/　/.-､<br>　　　　　　　　,,..-''''&quot;&quot;　　　　&quot;'''=_-.._i　 i　 /　,/<br>　　　　　　 ,,''&quot;　　　　　　　　　　　 ヽ　 `ｰ-._/<br>　　　　　 /　　　　,ィエｧ　 　ｲｴｧ　　 | 　　　　}<br>　　　　　i　__　　 　　　　　 ^　､　　　 }　ﾉ ,,,.ノ<br>　　　　　| |　|　　　　 弋 ーｰ''ﾌ`　 　/~￣<br>　 ＿＿_.!,|　ヽ､　　 　 　｀ー‐´　　／<br>. (..＿＿.i　　　 ヽ　　　　　　　 _／<br>.(＿＿＿|　　ーﾉー―--..__　ヽ､<br>　(＿＿__､＿,, '　　　　　　　￣~<br><br>
10	◆mtwlx/9P3UwK	""	2017/07/09(Sun) 17:48:44 ID:c1e36562	<br>┌────────────┐<br>│ところが、ある日のことだ。　&#x2006;│<br>└────────────┘<br>┏──────┓<br>│Unite Timeline&#x2009;│<br>┗──────┛<br>　　 　 　 　 _..　-― ､<br>　　　　　／,,ｨ=＝=､､ ＼<br>　　　　 ﾒ､-'＿ノヽ二＞｢　　_　　　　　　　　　　ヒエーーーーーー！！<br>　　 _　 ｀丁'〇 　 ● ! lﾊ,／ﾉ<br>　　ヽ.&gt; 、lﾍ '''(_人_)'''ﾊ. l' ／ヽヽ<br>　　i ! ＼.l　!＞ --＜l_,ｌ ｢ ヽニ⊃<br>　　l i　l´ｌ　Hヽｲﾊヽﾍ　Ll、|ヽ' '<br>　　⊂ﾆ!.ﾄ┘!＿'! l_＿〉　　｀　ヽ<br>　　 ` 　/　 　 /ｌ　 l ,ノ＼.　　　 ヽ<br>.　　　 /　 　 /7ヽ／ﾍ　　＼._　　 |<br>　　　 l　　_./ /　　　　ヽ　　 ヽ｀`丶､<br><br>
